time,wave_height,wave_period,wave_direction,wind_wave_height,swell_wave_height,swell_wave_period,swell_wave_direction,wind_speed_10m,wind_direction_10m,beach_id,beach_name,preferred_swell_direction_deg,swell_direction_tolerance_deg,preferred_wind_direction_deg,wind_direction_tolerance_deg,surf_score
2026-08-24T00:00,0.9,8.05,218,0.5,0.52,9.7,226,19.3,176,1,Máncora,315,45,112,45,44.3
2026-08-24T01:00,0.86,8.35,218,0.42,0.5,9.8,225,18.7,178,1,Máncora,315,45,112,45,43.8
2026-08-24T02:00,0.84,8.6,219,0.38,0.5,10.7,226,14.9,179,1,Máncora,315,45,112,45,47.4
2026-08-24T03:00,0.82,8.85,220,0.34,0.52,12.1,226,9.8,187,1,Máncora,315,45,112,45,48.6
2026-08-24T04:00,0.8,9.1,221,0.3,0.52,12.95,227,4.9,188,1,Máncora,315,45,112,45,50.6
2026-08-24T05:00,0.78,9.4,221,0.24,0.5,12.85,226,2.2,156,1,Máncora,315,45,112,45,57.7
2026-08-24T06:00,0.74,9.65,222,0.16,0.48,12.2,224,1.9,146,1,Máncora,315,45,112,45,59.9
2026-08-24T07:00,0.72,9.85,222,0.1,0.46,11.7,223,4.1,131,1,Máncora,315,45,112,45,63.3
2026-08-24T08:00,0.72,10.05,222,0.16,0.46,11.45,222,4.0,87,1,Máncora,315,45,112,45,66.9
2026-08-24T09:00,0.72,10.15,223,0.22,0.46,11.35,222,3.4,335,1,Máncora,315,45,112,45,52.5
2026-08-24T10:00,0.72,9.9,223,0.28,0.46,11.3,221,9.1,292,1,Máncora,315,45,112,45,45.2
2026-08-24T11:00,0.8,9.0,223,0.46,0.46,11.45,221,14.1,273,1,Máncora,315,45,112,45,42.2
2026-08-24T12:00,0.9,7.75,222,0.66,0.48,11.7,222,19.1,261,1,Máncora,315,45,112,45,31.0
2026-08-24T13:00,0.98,6.75,222,0.84,0.48,11.85,222,28.3,251,1,Máncora,315,45,112,45,25.8
2026-08-24T14:00,1.04,6.35,221,0.9,0.48,11.8,222,32.8,246,1,Máncora,315,45,112,45,30.8
2026-08-24T15:00,1.1,6.25,221,0.98,0.46,11.65,221,29.6,244,1,Máncora,315,45,112,45,30.8
2026-08-24T16:00,1.16,6.2,220,1.04,0.46,11.5,221,29.1,232,1,Máncora,315,45,112,45,30.8
2026-08-24T17:00,1.16,6.15,219,1.04,0.46,11.45,221,30.1,218,1,Máncora,315,45,112,45,30.8
2026-08-24T18:00,1.16,6.15,217,1.04,0.44,11.4,222,30.9,209,1,Máncora,315,45,112,45,30.8
2026-08-24T19:00,1.16,6.2,216,1.04,0.44,11.15,222,29.0,203,1,Máncora,315,45,112,45,30.8
2026-08-24T20:00,1.12,6.35,216,0.98,0.44,10.4,221,26.5,202,1,Máncora,315,45,112,45,30.8
2026-08-24T21:00,1.08,6.5,215,0.9,0.44,9.4,221,24.7,201,1,Máncora,315,45,112,45,33.2
2026-08-24T22:00,1.04,6.65,215,0.84,0.44,8.7,220,23.8,200,1,Máncora,315,45,112,45,33.4
2026-08-24T23:00,1.04,6.7,214,0.82,0.44,8.5,220,23.8,198,1,Máncora,315,45,112,45,33.9
2026-08-25T00:00,1.02,6.7,213,0.82,0.44,8.6,220,22.8,194,1,Máncora,315,45,112,45,34.8
2026-08-25T01:00,1.02,6.75,212,0.8,0.44,8.75,220,22.8,190,1,Máncora,315,45,112,45,35.7
2026-08-25T02:00,1.0,6.8,211,0.76,0.46,9.0,221,22.8,186,1,Máncora,315,45,112,45,36.6
2026-08-25T03:00,1.0,6.85,211,0.74,0.46,9.25,222,23.2,181,1,Máncora,315,45,112,45,37.7
2026-08-25T04:00,0.98,6.95,210,0.7,0.48,9.35,223,22.9,181,1,Máncora,315,45,112,45,32.7
2026-08-25T05:00,0.96,7.1,210,0.66,0.46,9.0,222,22.3,180,1,Máncora,315,45,112,45,32.9
2026-08-25T06:00,0.92,7.25,210,0.62,0.44,8.4,220,21.1,180,1,Máncora,315,45,112,45,32.9
2026-08-25T07:00,0.9,7.45,210,0.58,0.42,8.0,219,20.0,175,1,Máncora,315,45,112,45,34.0
2026-08-25T08:00,0.88,7.85,212,0.46,0.42,7.95,219,16.6,171,1,Máncora,315,45,112,45,37.9
2026-08-25T09:00,0.84,8.25,213,0.32,0.42,8.1,218,10.1,163,1,Máncora,315,45,112,45,50.9
2026-08-25T10:00,0.82,8.4,215,0.2,0.42,8.4,218,0.7,284,1,Máncora,315,45,112,45,47.5
2026-08-25T11:00,0.88,8.0,217,0.4,0.42,8.95,218,9.3,302,1,Máncora,315,45,112,45,45.2
2026-08-25T12:00,0.92,7.3,220,0.62,0.42,9.65,217,16.7,291,1,Máncora,315,45,112,45,31.0
2026-08-25T13:00,0.98,6.75,222,0.82,0.42,10.15,217,24.3,278,1,Máncora,315,45,112,45,28.0
2026-08-25T14:00,1.0,6.5,222,0.86,0.42,10.35,217,31.8,260,1,Máncora,315,45,112,45,30.8
2026-08-25T15:00,1.04,6.45,222,0.88,0.42,10.3,217,34.5,244,1,Máncora,315,45,112,45,30.8
2026-08-25T16:00,1.06,6.45,222,0.92,0.42,10.15,217,29.7,241,1,Máncora,315,45,112,45,30.8
2026-08-25T17:00,1.04,6.55,221,0.84,0.4,9.6,218,26.4,233,1,Máncora,315,45,112,45,30.8
